station_id,root_grdc_no,test_start_year,test_end_year
4125200,4127800,2017,2023
4122637,4127800,2017,2023
4122638,4127800,2017,2023
4122130,4127800,2017,2023
4122636,4127800,2017,2023
4125205,4127800,2017,2023
4121110,4127800,2017,2023
4121111,4127800,2017,2023
4125210,4127800,2017,2023
4122650,4127800,2017,2023
4123380,4127800,2017,2023
4119310,4127800,2017,2023
4121120,4127800,2017,2023
4121121,4127800,2017,2023
4120100,4127800,2017,2023
4121125,4127800,2017,2023
4121126,4127800,2017,2023
4122151,4127800,2017,2023
4119080,4127800,2017,2023
4122153,4127800,2017,2023
4121130,4127800,2017,2023
4122155,4127800,2017,2023
4122152,4127800,2017,2023
4122154,4127800,2017,2023
4120110,4127800,2017,2023
4120111,4127800,2017,2023
4122160,4127800,2017,2023
4119600,4127800,2017,2023
4119090,4127800,2017,2023
4121140,4127800,2017,2023
4121141,4127800,2017,2023
4121142,4127800,2017,2023
4122165,4127800,2017,2023
4120120,4127800,2017,2023
4127800,4127800,2017,2023
4120121,4127800,2017,2023
4121146,4127800,2017,2023
4122170,4127800,2017,2023
4120125,4127800,2017,2023
4119101,4127800,2017,2023
4121147,4127800,2017,2023
4123200,4127800,2017,2023
4123201,4127800,2017,2023
4123202,4127800,2017,2023
4121150,4127800,2017,2023
4122180,4127800,2017,2023
4123205,4127800,2017,2023
4123206,4127800,2017,2023
4123207,4127800,2017,2023
4123208,4127800,2017,2023
4121161,4127800,2017,2023
4123210,4127800,2017,2023
4121162,4127800,2017,2023
4122700,4127800,2017,2023
4122701,4127800,2017,2023
4122190,4127800,2017,2023
4123209,4127800,2017,2023
4123220,4127800,2017,2023
4220501,4127800,2017,2023
4123225,4127800,2017,2023
4122201,4127800,2017,2023
4123230,4127800,2017,2023
4119650,4127800,2017,2023
4122211,4127800,2017,2023
4123235,4127800,2017,2023
4122212,4127800,2017,2023
4123240,4127800,2017,2023
4125801,4127800,2017,2023
4125802,4127800,2017,2023
4122220,4127800,2017,2023
4122222,4127800,2017,2023
4119150,4127800,2017,2023
4123250,4127800,2017,2023
4123251,4127800,2017,2023
4122230,4127800,2017,2023
4123255,4127800,2017,2023
4125942,4127800,2017,2023
4125943,4127800,2017,2023
4123260,4127800,2017,2023
4122240,4127800,2017,2023
4123265,4127800,2017,2023
4119170,4127800,2017,2023
4123268,4127800,2017,2023
4123270,4127800,2017,2023
4123271,4127800,2017,2023
4120200,4127800,2017,2023
4123272,4127800,2017,2023
4120202,4127800,2017,2023
4123275,4127800,2017,2023
4122250,4127800,2017,2023
4123277,4127800,2017,2023
4123278,4127800,2017,2023
4122255,4127800,2017,2023
4123280,4127800,2017,2023
4122260,4127800,2017,2023
4123290,4127800,2017,2023
4122270,4127800,2017,2023
4122271,4127800,2017,2023
4119200,4127800,2017,2023
4123300,4127800,2017,2023
4127400,4127800,2017,2023
4122280,4127800,2017,2023
4119210,4127800,2017,2023
4122281,4127800,2017,2023
4123310,4127800,2017,2023
4119220,4127800,2017,2023
4123320,4127800,2017,2023
4119230,4127800,2017,2023
4123330,4127800,2017,2023
4123331,4127800,2017,2023
4123335,4127800,2017,2023
4121801,4127800,2017,2023
4121802,4127800,2017,2023
4125900,4127800,2017,2023
4125901,4127800,2017,2023
4123341,4127800,2017,2023
4125904,4127800,2017,2023
4123345,4127800,2017,2023
4119250,4127800,2017,2023
4119251,4127800,2017,2023
4119252,4127800,2017,2023
4123347,4127800,2017,2023
4125910,4127800,2017,2023
4123350,4127800,2017,2023
4123352,4127800,2017,2023
4123351,4127800,2017,2023
4125911,4127800,2017,2023
